Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Studios,Demographic
Kekkai Sensen,1402,188,7.6,368445.0,827449,7467,TV,12,Finished Airing,Spring,2015,Bones,Shounen
Btooom!,2576,189,7.3,473811.0,822630,3329,TV,12,Finished Airing,Fall,2012,Madhouse,Seinen
No Game No Life: Zero,344,190,8.2,443482.0,817169,7468,Movie,1,Finished Airing,,2017,Madhouse,
Steins;Gate 0,114,191,8.53,392532.0,813446,11189,TV,23,Finished Airing,Spring,2018,White Fox,
Boruto: Naruto Next Generations,10862,192,5.7,401924.0,811292,6870,TV,0,Currently Airing,Spring,2017,Pierrot,Shounen
Kotonoha no Niwa,727,193,7.9,488174.0,808312,6685,Movie,1,Finished Airing,,2013,CoMix Wave Films,
Fate/stay night: Unlimited Blade Works 2nd Season,227,194,8.32,533465.0,807493,8975,TV,13,Finished Airing,Spring,2015,ufotable,
Tokyo Ghoul:re 2nd Season,7153,195,6.42,480393.0,806682,2657,TV,12,Finished Airing,Fall,2018,Pierrot,Seinen
Tokyo Ghoul:re 2nd Season,7153,195,6.42,480393.0,806682,2657,TV,12,Finished Airing,Fall,2018,Others,Seinen
Kuroko no Basket 2nd Season,319,196,8.22,512849.0,805346,4297,TV,25,Finished Airing,Fall,2013,Production I.G,Shounen
Magi: The Kingdom of Magic,321,197,8.22,437785.0,803402,7547,TV,25,Finished Airing,Fall,2013,A-1 Pictures,Shounen
Masamune-kun no Revenge,5312,198,6.74,468898.0,802582,3052,TV,12,Finished Airing,Winter,2017,SILVER LINK.,Shounen
Akatsuki no Yona,537,199,8.03,391161.0,799804,15242,TV,24,Finished Airing,Fall,2014,Pierrot,Shoujo
Kokoro Connect,1026,200,7.75,404968.0,798705,7790,TV,13,Finished Airing,Summer,2012,SILVER LINK.,
Trinity Seven,3729,201,7.07,440072.0,798467,3725,TV,12,Finished Airing,Fall,2014,Others,Shounen
Beastars,816,202,7.85,492547.0,791038,9356,TV,12,Finished Airing,Fall,2019,Orange,Shounen
Banana Fish,133,203,8.49,339510.0,788944,28459,TV,24,Finished Airing,Summer,2018,MAPPA,Shoujo
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,145,204,8.45,453894.0,788824,11636,TV,12,Finished Airing,Winter,2021,White Fox,
