Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Demographic
"Komi-san wa, Comyushou desu.",644,210,7.95,400325.0,779646,11540,TV,12,Finished Airing,Fall,2021,Nippon Columbia,Shounen
Toaru Majutsu no Index,2272,211,7.36,372914.0,778909,5411,TV,24,Finished Airing,Fall,2008,Geneon Universal Entertainment,
Toaru Majutsu no Index,2272,211,7.36,372914.0,778909,5411,TV,24,Finished Airing,Fall,2008,Square Enix,
Toaru Majutsu no Index,2272,211,7.36,372914.0,778909,5411,TV,24,Finished Airing,Fall,2008,AT-X,
Toaru Majutsu no Index,2272,211,7.36,372914.0,778909,5411,TV,24,Finished Airing,Fall,2008,ASCII Media Works,
Toaru Majutsu no Index,2272,211,7.36,372914.0,778909,5411,TV,24,Finished Airing,Fall,2008,Kadokawa Contents Gate,
Boku wa Tomodachi ga Sukunai,3239,212,7.17,438572.0,778435,3736,TV,12,Finished Airing,Fall,2011,AIC,
Boku wa Tomodachi ga Sukunai,3239,212,7.17,438572.0,778435,3736,TV,12,Finished Airing,Fall,2011,Media Factory,
Boku wa Tomodachi ga Sukunai,3239,212,7.17,438572.0,778435,3736,TV,12,Finished Airing,Fall,2011,TBS,
Boku wa Tomodachi ga Sukunai,3239,212,7.17,438572.0,778435,3736,TV,12,Finished Airing,Fall,2011,Bushiroad,
Boku wa Tomodachi ga Sukunai,3239,212,7.17,438572.0,778435,3736,TV,12,Finished Airing,Fall,2011,Bandai Namco Games,
Boku wa Tomodachi ga Sukunai,3239,212,7.17,438572.0,778435,3736,TV,12,Finished Airing,Fall,2011,Good Smile Company,
Hotarubi no Mori e,260,213,8.29,435600.0,777664,9930,Movie,1,Finished Airing,,2011,TV Tokyo,Shoujo
Hotarubi no Mori e,260,213,8.29,435600.0,777664,9930,Movie,1,Finished Airing,,2011,Aniplex,Shoujo
Hotarubi no Mori e,260,213,8.29,435600.0,777664,9930,Movie,1,Finished Airing,,2011,Nihon Ad Systems,Shoujo
Hotarubi no Mori e,260,213,8.29,435600.0,777664,9930,Movie,1,Finished Airing,,2011,Hakusensha,Shoujo
Hotarubi no Mori e,260,213,8.29,435600.0,777664,9930,Movie,1,Finished Airing,,2011,DAX Production,Shoujo
Bungou Stray Dogs 2nd Season,350,214,8.2,446782.0,776866,6545,TV,12,Finished Airing,Fall,2016,Lantis,Seinen
Bungou Stray Dogs 2nd Season,350,214,8.2,446782.0,776866,6545,TV,12,Finished Airing,Fall,2016,Movic,Seinen
Bungou Stray Dogs 2nd Season,350,214,8.2,446782.0,776866,6545,TV,12,Finished Airing,Fall,2016,KlockWorx,Seinen
Bungou Stray Dogs 2nd Season,350,214,8.2,446782.0,776866,6545,TV,12,Finished Airing,Fall,2016,Bandai Namco Live Creative,Seinen
Bungou Stray Dogs 2nd Season,350,214,8.2,446782.0,776866,6545,TV,12,Finished Airing,Fall,2016,Glovision,Seinen
Bungou Stray Dogs 2nd Season,350,214,8.2,446782.0,776866,6545,TV,12,Finished Airing,Fall,2016,Lawson HMV Entertainment,Seinen
Bungou Stray Dogs 2nd Season,350,214,8.2,446782.0,776866,6545,TV,12,Finished Airing,Fall,2016,Sony PCL,Seinen
Orange,1337,215,7.62,373852.0,775536,6603,TV,13,Finished Airing,Summer,2016,TMS Entertainment,Shoujo
Orange,1337,215,7.62,373852.0,775536,6603,TV,13,Finished Airing,Summer,2016,DAX Production,Shoujo
Orange,1337,215,7.62,373852.0,775536,6603,TV,13,Finished Airing,Summer,2016,TOHO animation,Shoujo
Orange,1337,215,7.62,373852.0,775536,6603,TV,13,Finished Airing,Summer,2016,Lawson,Shoujo
Orange,1337,215,7.62,373852.0,775536,6603,TV,13,Finished Airing,Summer,2016,ABC Animation,Shoujo
