Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Genres,Demographic
Highschool of the Dead,3698,72,7.08,899532.0,1428763,9768,TV,12,Finished Airing,Summer,2010,Ecchi,Shounen
Fate/Zero,265,73,8.28,817723.0,1426060,32898,TV,13,Finished Airing,Fall,2011,Action,
Fate/Zero,265,73,8.28,817723.0,1426060,32898,TV,13,Finished Airing,Fall,2011,Fantasy,
Fate/Zero,265,73,8.28,817723.0,1426060,32898,TV,13,Finished Airing,Fall,2011,Supernatural,
Fullmetal Alchemist,436,74,8.12,858509.0,1408773,25269,TV,51,Finished Airing,Fall,2003,Action,Shounen
Fullmetal Alchemist,436,74,8.12,858509.0,1408773,25269,TV,51,Finished Airing,Fall,2003,Adventure,Shounen
Fullmetal Alchemist,436,74,8.12,858509.0,1408773,25269,TV,51,Finished Airing,Fall,2003,Award Winning,Shounen
Fullmetal Alchemist,436,74,8.12,858509.0,1408773,25269,TV,51,Finished Airing,Fall,2003,Drama,Shounen
Fullmetal Alchemist,436,74,8.12,858509.0,1408773,25269,TV,51,Finished Airing,Fall,2003,Fantasy,Shounen
Kono Subarashii Sekai ni Shukufuku wo! 2,274,75,8.27,936180.0,1405820,11605,TV,10,Finished Airing,Winter,2017,Adventure,
Kono Subarashii Sekai ni Shukufuku wo! 2,274,75,8.27,936180.0,1405820,11605,TV,10,Finished Airing,Winter,2017,Comedy,
Kono Subarashii Sekai ni Shukufuku wo! 2,274,75,8.27,936180.0,1405820,11605,TV,10,Finished Airing,Winter,2017,Fantasy,
Mob Psycho 100 II,32,76,8.8,875606.0,1392665,31341,TV,13,Finished Airing,Winter,2019,Action,
Mob Psycho 100 II,32,76,8.8,875606.0,1392665,31341,TV,13,Finished Airing,Winter,2019,Comedy,
Mob Psycho 100 II,32,76,8.8,875606.0,1392665,31341,TV,13,Finished Airing,Winter,2019,Supernatural,
Noragami Aragoto,393,77,8.16,852170.0,1380844,11376,TV,13,Finished Airing,Fall,2015,Action,Shounen
Noragami Aragoto,393,77,8.16,852170.0,1380844,11376,TV,13,Finished Airing,Fall,2015,Fantasy,Shounen
Kakegurui,2824,78,7.25,851640.0,1379817,10457,TV,12,Finished Airing,Summer,2017,Drama,Shounen
Kakegurui,2824,78,7.25,851640.0,1379817,10457,TV,12,Finished Airing,Summer,2017,Mystery,Shounen
Clannad,583,79,8.0,728144.0,1354198,27054,TV,23,Finished Airing,Fall,2007,Drama,
Clannad,583,79,8.0,728144.0,1354198,27054,TV,23,Finished Airing,Fall,2007,Romance,
Clannad,583,79,8.0,728144.0,1354198,27054,TV,23,Finished Airing,Fall,2007,Supernatural,
High School DxD,2362,80,7.34,854822.0,1348270,21712,TV,12,Finished Airing,Winter,2012,Comedy,
High School DxD,2362,80,7.34,854822.0,1348270,21712,TV,12,Finished Airing,Winter,2012,Romance,
High School DxD,2362,80,7.34,854822.0,1348270,21712,TV,12,Finished Airing,Winter,2012,Ecchi,
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,575,81,8.01,800245.0,1345493,27463,TV,13,Finished Airing,Spring,2013,Comedy,
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,575,81,8.01,800245.0,1345493,27463,TV,13,Finished Airing,Spring,2013,Romance,
